record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0001,a,an,a (an),1,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0002,abandon,,abandon,2,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0003,ability,,ability,3,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0004,able,,able,4,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0005,abnormal,,abnormal,5,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0006,aboard,,aboard,6,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0007,about,,about,7,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0008,above,,above,8,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0009,abroad,,abroad,9,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0010,absence,,absence,10,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0011,absent,,absent,11,1,1,compulsory_education,,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0012,absolutely,,absolutely,12,1,1,high_school_compulsory,*,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0013,absorb,,absorb,13,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0014,abstract,,abstract,14,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0015,abuse,,abuse,15,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0016,academic,,academic,16,1,1,high_school_selective_compulsory,**,A,121,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0017,accent,,accent,17,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
