legacy_word,legacy_row_count,full_4012_status,full_4012_matched_headwords,release_3800_status,release_3800_matched_headwords
a,1,exact_headword,a,exact_headword,a
a.m.,1,exact_headword,a.m.,exact_headword,a.m.
abandon,1,exact_headword,abandon,exact_headword,abandon
ability,1,exact_headword,ability,exact_headword,ability
able,1,exact_headword,able,exact_headword,able
abnormal,1,exact_headword,abnormal,exact_headword,abnormal
aboard,1,exact_headword,aboard,exact_headword,aboard
abolish,1,exact_headword,abolish,exact_headword,abolish
abortion,1,exact_headword,abortion,exact_headword,abortion
about,1,exact_headword,about,exact_headword,about
above,1,exact_headword,above,exact_headword,above
abroad,1,exact_headword,abroad,exact_headword,abroad
abrupt,1,exact_headword,abrupt,exact_headword,abrupt
absence,1,exact_headword,absence,exact_headword,absence
absent,1,exact_headword,absent,exact_headword,absent
absolute,1,exact_headword,absolute,exact_headword,absolute
absorb,1,exact_headword,absorb,exact_headword,absorb
abstract,1,exact_headword,abstract,exact_headword,abstract
absurd,1,exact_headword,absurd,exact_headword,absurd
abundant,1,exact_headword,abundant,exact_headword,abundant
abuse,1,exact_headword,abuse,exact_headword,abuse
academic,1,exact_headword,academic,exact_headword,academic
academy,1,exact_headword,academy,exact_headword,academy
accelerate,1,exact_headword,accelerate,exact_headword,accelerate
accent,1,exact_headword,accent,exact_headword,accent
accept,1,exact_headword,accept,exact_headword,accept
access,1,exact_headword,access,exact_headword,access
accessible,1,exact_headword,accessible,exact_headword,accessible
accident,1,exact_headword,accident,exact_headword,accident
accommodation,1,exact_headword,accommodation,exact_headword,accommodation
accompany,1,exact_headword,accompany,exact_headword,accompany
accomplish,1,exact_headword,accomplish,exact_headword,accomplish
according to,1,exact_headword,according to,exact_headword,according to
account,1,exact_headword,account,exact_headword,account
accountant,1,exact_headword,accountant,exact_headword,accountant
accumulate,1,exact_headword,accumulate,exact_headword,accumulate
accuracy,1,exact_headword,accuracy,exact_headword,accuracy
accuse,1,exact_headword,accuse,exact_headword,accuse
accustomed,1,exact_headword,accustomed,exact_headword,accustomed
ache,1,exact_headword,ache,exact_headword,ache
achieve,1,exact_headword,achieve,exact_headword,achieve
achievement,1,exact_headword,achievement,exact_headword,achievement
acid,1,exact_headword,acid,exact_headword,acid
acknowledge,1,exact_headword,acknowledge,exact_headword,acknowledge
acquaintance,1,exact_headword,acquaintance,exact_headword,acquaintance
acquire,1,exact_headword,acquire,exact_headword,acquire
acquisition,1,exact_headword,acquisition,exact_headword,acquisition
acre,1,exact_headword,acre,not_covered,
across,1,exact_headword,across,exact_headword,across
act,1,exact_headword,act,exact_headword,act
action,1,exact_headword,action,exact_headword,action
active,1,exact_headword,active,exact_headword,active
activity,1,exact_headword,activity,exact_headword,activity
actor,1,exact_headword,actor,exact_headword,actor
actress,1,exact_headword,actress,exact_headword,actress
actual,1,exact_headword,actual,exact_headword,actual
acute,1,exact_headword,acute,exact_headword,acute
AD,1,exact_headword,AD,exact_headword,AD
ad,1,exact_variant,advertisement,exact_variant,advertisement
adapt,1,exact_headword,adapt,exact_headword,adapt
adaptation,1,exact_headword,adaptation,exact_headword,adaptation
add,1,exact_headword,add,exact_headword,add
addicted,1,exact_headword,addicted,not_covered,
addition,1,exact_headword,addition,exact_headword,addition
address,1,exact_headword,address,exact_headword,address
adequate,1,exact_headword,adequate,exact_headword,adequate
adjust,1,exact_headword,adjust,exact_headword,adjust
adjustment,1,exact_headword,adjustment,exact_headword,adjustment
administration,1,exact_headword,administration,exact_headword,administration
admirable,1,exact_headword,admirable,exact_headword,admirable
