legacy_row,legacy_word,match_status,match_stage,matched_curriculum_sequence,matched_curriculum_entry,matched_alias,alias_type,curriculum_level,requires_review,match_note
1,a,exact_primary,literal,1,a (an),a,primary,compulsory_education,no,primary_preferred
2,abandon,exact_primary,literal,2,abandon,abandon,primary,high_school_selective_compulsory,no,primary_preferred
3,ability,exact_primary,literal,3,ability,ability,primary,compulsory_education,no,primary_preferred
4,able,exact_primary,literal,4,able,able,primary,compulsory_education,no,primary_preferred
5,abnormal,exact_primary,literal,5,abnormal,abnormal,primary,high_school_selective_compulsory,no,primary_preferred
6,aboard,exact_primary,literal,6,aboard,aboard,primary,high_school_selective_compulsory,no,primary_preferred
7,abolish,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
8,abortion,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
9,about,exact_primary,literal,7,about,about,primary,compulsory_education,no,primary_preferred
10,above,exact_primary,literal,8,above,above,primary,compulsory_education,no,primary_preferred
11,abroad,exact_primary,literal,9,abroad,abroad,primary,compulsory_education,no,primary_preferred
12,abrupt,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
13,absence,exact_primary,literal,10,absence,absence,primary,high_school_selective_compulsory,no,primary_preferred
14,absent,exact_primary,literal,11,absent,absent,primary,compulsory_education,no,primary_preferred
15,absolute,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
16,absorb,exact_primary,literal,13,absorb,absorb,primary,high_school_selective_compulsory,no,primary_preferred
17,abstract,exact_primary,literal,14,abstract,abstract,primary,high_school_selective_compulsory,no,primary_preferred
18,absurd,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
19,abundant,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
20,abuse,exact_primary,literal,15,abuse,abuse,primary,high_school_selective_compulsory,no,primary_preferred
21,academic,exact_primary,literal,16,academic,academic,primary,high_school_selective_compulsory,no,primary_preferred
22,academy,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
23,accelerate,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
24,accent,exact_primary,literal,17,accent,accent,primary,high_school_selective_compulsory,no,primary_preferred
25,accept,exact_primary,literal,18,accept,accept,primary,compulsory_education,no,primary_preferred
26,access,exact_primary,literal,19,access,access,primary,high_school_selective_compulsory,no,primary_preferred
27,accessible,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
28,accident,exact_primary,literal,20,accident,accident,primary,high_school_compulsory,no,primary_preferred
29,accommodation,exact_primary,literal,21,accommodation,accommodation,primary,high_school_selective_compulsory,no,primary_preferred
30,accompany,exact_primary,literal,22,accompany,accompany,primary,high_school_selective_compulsory,no,primary_preferred
31,accomplish,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
32,according to,exact_primary,literal,23,according to,according to,primary,compulsory_education,no,primary_preferred
33,account,exact_primary,literal,24,account,account,primary,high_school_compulsory,no,primary_preferred
34,accountant,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
35,accumulate,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
36,accuracy,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
37,accuse,exact_primary,literal,26,accuse,accuse,primary,high_school_selective_compulsory,no,primary_preferred
38,accustomed,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
39,ache,exact_primary,literal,27,ache,ache,primary,high_school_compulsory,no,primary_preferred
40,achieve,exact_primary,literal,28,achieve,achieve,primary,compulsory_education,no,primary_preferred
41,achievement,exact_primary,literal,29,achievement,achievement,primary,high_school_compulsory,no,primary_preferred
42,acid,exact_primary,literal,30,acid,acid,primary,high_school_selective_compulsory,no,primary_preferred
43,acknowledge,exact_primary,literal,31,acknowledge,acknowledge,primary,high_school_selective_compulsory,no,primary_preferred
44,acquaintance,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
45,acquire,exact_primary,literal,32,acquire,acquire,primary,high_school_compulsory,no,primary_preferred
46,acquisition,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
47,acre,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
48,across,exact_primary,literal,33,across,across,primary,compulsory_education,no,primary_preferred
49,act,exact_primary,literal,34,act,act,primary,compulsory_education,no,primary_preferred
50,action,exact_primary,literal,35,action,action,primary,compulsory_education,no,primary_preferred
51,active,exact_primary,literal,36,active,active,primary,compulsory_education,no,primary_preferred
52,activity,exact_primary,literal,37,activity,activity,primary,compulsory_education,no,primary_preferred
53,actor,exact_primary,literal,38,actor,actor,primary,compulsory_education,no,primary_preferred
54,actress,exact_primary,literal,39,actress,actress,primary,compulsory_education,no,primary_preferred
55,actual,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
56,acute,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
57,AD,exact_primary,literal,41,AD,AD,primary,high_school_selective_compulsory,no,primary_preferred
58,ad,exact_official_variant,literal,59,advertisement (ad),ad,parenthetical_variant,high_school_selective_compulsory,no,unique_entry
59,adapt,exact_primary,literal,42,adapt,adapt,primary,high_school_compulsory,no,primary_preferred
60,adaptation,exact_primary,literal,43,adaptation,adaptation,primary,high_school_selective_compulsory,no,primary_preferred
61,add,exact_primary,literal,44,add,add,primary,compulsory_education,no,primary_preferred
62,addicted,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
63,addition,exact_primary,literal,46,addition,addition,primary,high_school_compulsory,no,primary_preferred
64,address,exact_primary,literal,47,address,address,primary,compulsory_education,no,primary_preferred
65,adequate,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
66,adjust,exact_primary,literal,48,adjust,adjust,primary,high_school_selective_compulsory,no,primary_preferred
67,adjustment,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
68,administration,exact_primary,literal,49,administration,administration,primary,high_school_selective_compulsory,no,primary_preferred
69,admirable,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
70,admire,exact_primary,literal,50,admire,admire,primary,high_school_compulsory,no,primary_preferred
71,admission,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
72,admit,exact_primary,literal,51,admit,admit,primary,high_school_compulsory,no,primary_preferred
73,adolescence,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
74,adolescent,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
75,adopt,exact_primary,literal,52,adopt,adopt,primary,high_school_selective_compulsory,no,primary_preferred
76,adore,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
77,adult,exact_primary,literal,54,adult,adult,primary,high_school_compulsory,no,primary_preferred
78,advance,exact_primary,literal,55,advance,advance,primary,high_school_compulsory,no,primary_preferred
79,advantage,exact_primary,literal,56,advantage,advantage,primary,compulsory_education,no,primary_preferred
80,adventure,exact_primary,literal,57,adventure,adventure,primary,high_school_compulsory,no,primary_preferred
81,advertise,exact_primary,literal,58,advertise,advertise,primary,high_school_selective_compulsory,no,primary_preferred
82,advertisement,exact_primary,literal,59,advertisement (ad),advertisement,primary,high_school_selective_compulsory,no,primary_preferred
83,advice,exact_primary,literal,60,advice,advice,primary,compulsory_education,no,primary_preferred
84,advise,exact_primary,literal,61,advise,advise,primary,compulsory_education,no,primary_preferred
85,advocate,exact_primary,literal,62,advocate,advocate,primary,high_school_selective_compulsory,no,primary_preferred
86,aeroplane,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
87,affair,exact_primary,literal,63,affair,affair,primary,high_school_compulsory,no,primary_preferred
88,affect,exact_primary,literal,64,affect,affect,primary,high_school_selective_compulsory,no,primary_preferred
89,affection,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
90,afford,exact_primary,literal,65,afford,afford,primary,compulsory_education,no,primary_preferred
91,afraid,exact_primary,literal,66,afraid,afraid,primary,compulsory_education,no,primary_preferred
92,Africa,exact_primary,literal,67,Africa,Africa,primary,compulsory_education,no,primary_preferred
93,African,exact_primary,literal,68,African,African,primary,compulsory_education,no,primary_preferred
94,after,exact_primary,literal,69,after,after,primary,compulsory_education,no,primary_preferred
95,afternoon,exact_primary,literal,70,afternoon,afternoon,primary,compulsory_education,no,primary_preferred
96,afterward,exact_primary,literal,71,afterward,afterward,primary,high_school_selective_compulsory,no,primary_preferred
97,again,exact_primary,literal,72,again,again,primary,compulsory_education,no,primary_preferred
98,against,exact_primary,literal,73,against,against,primary,compulsory_education,no,primary_preferred
99,age,exact_primary,literal,74,age,age,primary,compulsory_education,no,primary_preferred
100,agency,exact_primary,literal,75,agency,agency,primary,high_school_selective_compulsory,no,primary_preferred
101,agenda,exact_primary,literal,76,agenda,agenda,primary,high_school_selective_compulsory,no,primary_preferred
102,agent,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
103,aggression,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
104,aggressive,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
105,ago,exact_primary,literal,77,ago,ago,primary,compulsory_education,no,primary_preferred
106,agree,exact_primary,literal,78,agree,agree,primary,compulsory_education,no,primary_preferred
107,agreement,exact_primary,literal,79,agreement,agreement,primary,compulsory_education,no,primary_preferred
108,agricultural,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
109,agriculture,exact_primary,literal,80,agriculture,agriculture,primary,high_school_compulsory,no,primary_preferred
110,ahead,exact_primary,literal,81,ahead,ahead,primary,high_school_compulsory,no,primary_preferred
111,aid,exact_primary,literal,82,aid,aid,primary,high_school_compulsory,no,primary_preferred
112,AIDS,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
113,aim,exact_primary,literal,83,aim,aim,primary,high_school_compulsory,no,primary_preferred
114,air,exact_primary,literal,84,air,air,primary,compulsory_education,no,primary_preferred
115,aircraft,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
116,airline,exact_primary,literal,85,airline,airline,primary,high_school_selective_compulsory,no,primary_preferred
117,airmail,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
118,airplane,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
119,airport,exact_primary,literal,86,airport,airport,primary,compulsory_education,no,primary_preferred
120,airspace,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
121,alarm,exact_primary,literal,87,alarm,alarm,primary,high_school_compulsory,no,primary_preferred
122,album,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
123,alcohol,exact_primary,literal,88,alcohol,alcohol,primary,high_school_selective_compulsory,no,primary_preferred
124,alcoholic,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
125,algebra,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
126,alike,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
127,alive,exact_primary,literal,89,alive,alive,primary,compulsory_education,no,primary_preferred
128,all,exact_primary,literal,90,all,all,primary,compulsory_education,no,primary_preferred
129,allergic,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
130,alley,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
131,allocate,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
132,allow,exact_primary,literal,91,allow,allow,primary,compulsory_education,no,primary_preferred
133,allowance,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
134,almost,exact_primary,literal,92,almost,almost,primary,compulsory_education,no,primary_preferred
135,alone,exact_primary,literal,93,alone,alone,primary,compulsory_education,no,primary_preferred
136,along,exact_primary,literal,94,along,along,primary,compulsory_education,no,primary_preferred
137,alongside,exact_primary,literal,95,alongside,alongside,primary,high_school_selective_compulsory,no,primary_preferred
138,aloud,exact_primary,literal,96,aloud,aloud,primary,compulsory_education,no,primary_preferred
139,alphabet,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
140,already,exact_primary,literal,97,already,already,primary,compulsory_education,no,primary_preferred
141,also,exact_primary,literal,98,also,also,primary,compulsory_education,no,primary_preferred
142,alternative,exact_primary,literal,99,alternative,alternative,primary,high_school_selective_compulsory,no,primary_preferred
143,although,exact_primary,literal,100,although,although,primary,compulsory_education,no,primary_preferred
144,altitude,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
145,altogether,exact_primary,literal,101,altogether,altogether,primary,high_school_selective_compulsory,no,primary_preferred
146,aluminium,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
147,always,exact_primary,literal,102,always,always,primary,compulsory_education,no,primary_preferred
148,am,exact_official_variant,literal,260,"be (am, are, is)",am,parenthetical_variant,compulsory_education,no,unique_entry
149,a.m.,exact_primary,literal,103,a.m.,a.m.,primary,high_school_compulsory,no,primary_preferred
150,amateur,exact_primary,literal,104,amateur,amateur,primary,high_school_selective_compulsory,no,primary_preferred
151,amaze,unmatched_extension_candidate,none,,,,,,yes,not found in official entry aliases
