curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
1,a (an),compulsory_education,a,primary,121
1,a (an),compulsory_education,an,parenthetical_variant,121
2,abandon,high_school_selective_compulsory,abandon,primary,121
3,ability,compulsory_education,ability,primary,121
4,able,compulsory_education,able,primary,121
5,abnormal,high_school_selective_compulsory,abnormal,primary,121
6,aboard,high_school_selective_compulsory,aboard,primary,121
7,about,compulsory_education,about,primary,121
8,above,compulsory_education,above,primary,121
9,abroad,compulsory_education,abroad,primary,121
10,absence,high_school_selective_compulsory,absence,primary,121
11,absent,compulsory_education,absent,primary,121
12,absolutely,high_school_compulsory,absolutely,primary,121
13,absorb,high_school_selective_compulsory,absorb,primary,121
14,abstract,high_school_selective_compulsory,abstract,primary,121
15,abuse,high_school_selective_compulsory,abuse,primary,121
16,academic,high_school_selective_compulsory,academic,primary,121
17,accent,high_school_selective_compulsory,accent,primary,122
18,accept,compulsory_education,accept,primary,122
19,access,high_school_selective_compulsory,access,primary,122
20,accident,high_school_compulsory,accident,primary,122
21,accommodation,high_school_selective_compulsory,accommodation,primary,122
22,accompany,high_school_selective_compulsory,accompany,primary,122
23,according to,compulsory_education,according to,primary,122
24,account,high_school_compulsory,account,primary,122
25,accurate,high_school_selective_compulsory,accurate,primary,122
26,accuse,high_school_selective_compulsory,accuse,primary,122
27,ache,high_school_compulsory,ache,primary,122
28,achieve,compulsory_education,achieve,primary,122
29,achievement,high_school_compulsory,achievement,primary,122
30,acid,high_school_selective_compulsory,acid,primary,122
31,acknowledge,high_school_selective_compulsory,acknowledge,primary,122
32,acquire,high_school_compulsory,acquire,primary,122
33,across,compulsory_education,across,primary,122
34,act,compulsory_education,act,primary,122
35,action,compulsory_education,action,primary,122
36,active,compulsory_education,active,primary,122
37,activity,compulsory_education,activity,primary,122
38,actor,compulsory_education,actor,primary,122
39,actress,compulsory_education,actress,primary,122
40,actually,high_school_compulsory,actually,primary,122
41,AD,high_school_selective_compulsory,AD,primary,122
42,adapt,high_school_compulsory,adapt,primary,122
43,adaptation,high_school_selective_compulsory,adaptation,primary,122
44,add,compulsory_education,add,primary,122
45,addict,high_school_compulsory,addict,primary,122
46,addition,high_school_compulsory,addition,primary,122
47,address,compulsory_education,address,primary,122
48,adjust,high_school_selective_compulsory,adjust,primary,122
49,administration,high_school_selective_compulsory,administration,primary,122
50,admire,high_school_compulsory,admire,primary,122
51,admit,high_school_compulsory,admit,primary,122
52,adopt,high_school_selective_compulsory,adopt,primary,122
53,adorable,high_school_selective_compulsory,adorable,primary,122
54,adult,high_school_compulsory,adult,primary,122
55,advance,high_school_compulsory,advance,primary,122
56,advantage,compulsory_education,advantage,primary,122
57,adventure,high_school_compulsory,adventure,primary,122
58,advertise,high_school_selective_compulsory,advertise,primary,122
59,advertisement (ad),high_school_selective_compulsory,advertisement,primary,122
59,advertisement (ad),high_school_selective_compulsory,ad,parenthetical_variant,122
60,advice,compulsory_education,advice,primary,122
61,advise,compulsory_education,advise,primary,122
62,advocate,high_school_selective_compulsory,advocate,primary,122
63,affair,high_school_compulsory,affair,primary,122
64,affect,high_school_selective_compulsory,affect,primary,122
65,afford,compulsory_education,afford,primary,122
66,afraid,compulsory_education,afraid,primary,122
67,Africa,compulsory_education,Africa,primary,122
68,African,compulsory_education,African,primary,122
69,after,compulsory_education,after,primary,122
70,afternoon,compulsory_education,afternoon,primary,122
71,afterward,high_school_selective_compulsory,afterward,primary,122
72,again,compulsory_education,again,primary,122
73,against,compulsory_education,against,primary,123
74,age,compulsory_education,age,primary,123
75,agency,high_school_selective_compulsory,agency,primary,123
76,agenda,high_school_selective_compulsory,agenda,primary,123
77,ago,compulsory_education,ago,primary,123
78,agree,compulsory_education,agree,primary,123
79,agreement,compulsory_education,agreement,primary,123
80,agriculture,high_school_compulsory,agriculture,primary,123
81,ahead,high_school_compulsory,ahead,primary,123
82,aid,high_school_compulsory,aid,primary,123
83,aim,high_school_compulsory,aim,primary,123
84,air,compulsory_education,air,primary,123
85,airline,high_school_selective_compulsory,airline,primary,123
86,airport,compulsory_education,airport,primary,123
87,alarm,high_school_compulsory,alarm,primary,123
88,alcohol,high_school_selective_compulsory,alcohol,primary,123
89,alive,compulsory_education,alive,primary,123
90,all,compulsory_education,all,primary,123
91,allow,compulsory_education,allow,primary,123
92,almost,compulsory_education,almost,primary,123
93,alone,compulsory_education,alone,primary,123
94,along,compulsory_education,along,primary,123
95,alongside,high_school_selective_compulsory,alongside,primary,123
96,aloud,compulsory_education,aloud,primary,123
97,already,compulsory_education,already,primary,123
98,also,compulsory_education,also,primary,123
99,alternative,high_school_selective_compulsory,alternative,primary,123
100,although,compulsory_education,although,primary,123
101,altogether,high_school_selective_compulsory,altogether,primary,123
102,always,compulsory_education,always,primary,123
103,a.m.,high_school_compulsory,a.m.,primary,123
104,amateur,high_school_selective_compulsory,amateur,primary,123
105,amazing,high_school_compulsory,amazing,primary,123
106,ambition,high_school_selective_compulsory,ambition,primary,123
107,ambitious,high_school_selective_compulsory,ambitious,primary,123
108,ambulance,high_school_selective_compulsory,ambulance,primary,123
109,America,compulsory_education,America,primary,123
110,American,compulsory_education,American,primary,123
111,among,compulsory_education,among,primary,123
112,amount,high_school_compulsory,amount,primary,123
113,amuse,high_school_selective_compulsory,amuse,primary,123
114,analyse (analyze),high_school_selective_compulsory,analyse,primary,123
114,analyse (analyze),high_school_selective_compulsory,analyze,parenthetical_variant,123
115,ancestor,high_school_selective_compulsory,ancestor,primary,123
116,ancient,compulsory_education,ancient,primary,123
117,and,compulsory_education,and,primary,123
118,anger,high_school_selective_compulsory,anger,primary,123
119,angle,high_school_selective_compulsory,angle,primary,123
120,angry,compulsory_education,angry,primary,123
121,animal,compulsory_education,animal,primary,123
122,ankle,high_school_selective_compulsory,ankle,primary,123
123,announce,high_school_compulsory,announce,primary,123
124,annoy,high_school_selective_compulsory,annoy,primary,123
125,annual,high_school_compulsory,annual,primary,123
126,another,compulsory_education,another,primary,123
127,answer,compulsory_education,answer,primary,123
128,ant,compulsory_education,ant,primary,123
129,anticipate,high_school_selective_compulsory,anticipate,primary,124
130,antique,high_school_selective_compulsory,antique,primary,124
131,anxiety,high_school_selective_compulsory,anxiety,primary,124
132,anxious,high_school_compulsory,anxious,primary,124
133,any,compulsory_education,any,primary,124
134,anybody,compulsory_education,anybody,primary,124
135,anyhow,high_school_selective_compulsory,anyhow,primary,124
136,anyone,compulsory_education,anyone,primary,124
137,anything,compulsory_education,anything,primary,124
138,anyway,compulsory_education,anyway,primary,124
139,anywhere,compulsory_education,anywhere,primary,124
140,apart,high_school_selective_compulsory,apart,primary,124
141,apartment,high_school_compulsory,apartment,primary,124
142,apologise (apologize),high_school_compulsory,apologise,primary,124
142,apologise (apologize),high_school_compulsory,apologize,parenthetical_variant,124
143,apparently,high_school_selective_compulsory,apparently,primary,124
144,appeal,high_school_selective_compulsory,appeal,primary,124
145,appear,compulsory_education,appear,primary,124
146,appetite,high_school_selective_compulsory,appetite,primary,124
147,applaud,high_school_selective_compulsory,applaud,primary,124
148,apple,compulsory_education,apple,primary,124
149,applicant,high_school_selective_compulsory,applicant,primary,124
150,application,high_school_compulsory,application,primary,124
151,apply,high_school_compulsory,apply,primary,124
152,appointment,high_school_selective_compulsory,appointment,primary,124
153,appreciate,high_school_selective_compulsory,appreciate,primary,124
154,approach,high_school_compulsory,approach,primary,124
155,appropriate,high_school_selective_compulsory,appropriate,primary,124
156,approve,high_school_selective_compulsory,approve,primary,124
157,April,compulsory_education,April,primary,124
158,arch,high_school_selective_compulsory,arch,primary,124
159,architect,high_school_selective_compulsory,architect,primary,124
160,area,compulsory_education,area,primary,124
161,argue,high_school_compulsory,argue,primary,124
162,arise,high_school_selective_compulsory,arise,primary,124
163,arm,compulsory_education,arm,primary,124
164,army,compulsory_education,army,primary,124
165,around,compulsory_education,around,primary,124
166,arrangement,high_school_compulsory,arrangement,primary,124
167,arrest,high_school_selective_compulsory,arrest,primary,124
168,arrive,compulsory_education,arrive,primary,124
