sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id,coverage_status,provisional_legacy_words
12,absolutely*,absolutely,absolutely,,*,high_school_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2,not_covered,
25,accurate**,accurate,accurate,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2,not_covered,
40,actually*,actually,actually,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2,not_covered,
45,addict*,addict,addict,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2,not_covered,
53,adorable**,adorable,adorable,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2,not_covered,
107,ambitious**,ambitious,ambitious,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2,not_covered,
129,anticipate**,anticipate,anticipate,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2,not_covered,
143,apparently**,apparently,apparently,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2,not_covered,
183,assign**,assign,assign,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2,not_covered,
243,barely**,barely,barely,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2,not_covered,
263,bean curd (tofu)**,bean curd (tofu),bean curd,tofu,**,high_school_selective_compulsory,multiword,B,134,126,moe-hs-english-2017-2020-appendix-2,provisional_orthographic_match,beancurd
293,bet**,bet,bet,,**,high_school_selective_compulsory,word,B,134,126,moe-hs-english-2017-2020-appendix-2,not_covered,
318,blog*,blog,blog,,*,high_school_compulsory,word,B,135,127,moe-hs-english-2017-2020-appendix-2,not_covered,
325,body,body,body,,,compulsory_education,word,B,135,127,moe-hs-english-2017-2020-appendix-2,not_covered,
332,boost**,boost,boost,,**,high_school_selective_compulsory,word,B,135,127,moe-hs-english-2017-2020-appendix-2,not_covered,
342,bother**,bother,bother,,**,high_school_selective_compulsory,word,B,135,127,moe-hs-english-2017-2020-appendix-2,not_covered,
400,calendar,calendar,calendar,,,compulsory_education,word,C,136,128,moe-hs-english-2017-2020-appendix-2,not_covered,
402,calligraphy**,calligraphy,calligraphy,,**,high_school_selective_compulsory,word,C,136,128,moe-hs-english-2017-2020-appendix-2,not_covered,
404,calorie**,calorie,calorie,,**,high_school_selective_compulsory,word,C,136,128,moe-hs-english-2017-2020-appendix-2,not_covered,
409,campus*,campus,campus,,*,high_school_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
421,capable*,capable,capable,,*,high_school_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
422,capacity**,capacity,capacity,,**,high_school_selective_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
430,career**,career,career,,**,high_school_selective_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
448,cease**,cease,cease,,**,high_school_selective_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
451,celebrity**,celebrity,celebrity,,**,high_school_selective_compulsory,word,C,137,129,moe-hs-english-2017-2020-appendix-2,not_covered,
475,charity*,charity,charity,,*,high_school_compulsory,word,C,138,130,moe-hs-english-2017-2020-appendix-2,not_covered,
495,china*,china,china,,*,high_school_compulsory,word,C,138,130,moe-hs-english-2017-2020-appendix-2,not_covered,
511,cite**,cite,cite,,**,high_school_selective_compulsory,word,C,138,130,moe-hs-english-2017-2020-appendix-2,not_covered,
517,claim**,claim,claim,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
530,client**,client,client,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
542,clue**,clue,clue,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
550,collapse**,collapse,collapse,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
556,column**,column,column,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
562,comic**,comic,comic,,**,high_school_selective_compulsory,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
572,community,community,community,,,compulsory_education,word,C,139,131,moe-hs-english-2017-2020-appendix-2,not_covered,
575,comparison**,comparison,comparison,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
579,complain**,complain,complain,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
582,complicated**,complicated,complicated,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
584,compose**,compose,compose,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
587,comprehensive**,comprehensive,comprehensive,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
588,comprise**,comprise,comprise,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
600,confidence*,confidence,confidence,,*,high_school_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
603,Confucianism**,Confucianism,Confucianism,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
604,Confucius**,Confucius,Confucius,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
605,confused**,confused,confused,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
617,consultation**,consultation,consultation,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
619,consumption**,consumption,consumption,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
620,contact*,contact,contact,,*,high_school_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
624,contest**,contest,contest,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
625,context*,context,context,,*,high_school_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
628,contract**,contract,contract,,**,high_school_selective_compulsory,word,C,140,132,moe-hs-english-2017-2020-appendix-2,not_covered,
631,contrast**,contrast,contrast,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
641,cooperate**,cooperate,cooperate,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
643,core**,core,core,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
646,corporate**,corporate,corporate,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
650,costume**,costume,costume,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
655,council**,council,council,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
659,county*,county,county,,*,high_school_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
666,coverage**,coverage,coverage,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
673,creative*,creative,creative,,*,high_school_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
678,crisis**,crisis,crisis,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
680,critical**,critical,critical,,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
681,criticise (criticize)**,criticise (criticize),criticise,criticize,**,high_school_selective_compulsory,word,C,141,133,moe-hs-english-2017-2020-appendix-2,not_covered,
685,crucial**,crucial,crucial,,**,high_school_selective_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2,not_covered,
694,current*,current,current,,*,high_school_compulsory,word,C,142,134,moe-hs-english-2017-2020-appendix-2,not_covered,
