sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
1,a (an),a (an),a,an,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
2,abandon**,abandon,abandon,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
3,ability,ability,ability,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
4,able,able,able,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
5,abnormal**,abnormal,abnormal,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
6,aboard**,aboard,aboard,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
7,about,about,about,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
8,above,above,above,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
9,abroad,abroad,abroad,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
10,absence**,absence,absence,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
11,absent,absent,absent,,,compulsory_education,word,A,129,121,moe-hs-english-2017-2020-appendix-2
12,absolutely*,absolutely,absolutely,,*,high_school_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
13,absorb**,absorb,absorb,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
14,abstract**,abstract,abstract,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
15,abuse**,abuse,abuse,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
16,academic**,academic,academic,,**,high_school_selective_compulsory,word,A,129,121,moe-hs-english-2017-2020-appendix-2
17,accent**,accent,accent,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
18,accept,accept,accept,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
19,access**,access,access,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
20,accident*,accident,accident,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
21,accommodation**,accommodation,accommodation,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
22,accompany**,accompany,accompany,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
23,according to,according to,according to,,,compulsory_education,multiword,A,130,122,moe-hs-english-2017-2020-appendix-2
24,account*,account,account,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
25,accurate**,accurate,accurate,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
26,accuse**,accuse,accuse,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
27,ache*,ache,ache,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
28,achieve,achieve,achieve,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
29,achievement*,achievement,achievement,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
30,acid**,acid,acid,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
31,acknowledge**,acknowledge,acknowledge,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
32,acquire*,acquire,acquire,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
33,across,across,across,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
34,act,act,act,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
35,action,action,action,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
36,active,active,active,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
37,activity,activity,activity,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
38,actor,actor,actor,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
39,actress,actress,actress,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
40,actually*,actually,actually,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
41,AD**,AD,AD,,**,high_school_selective_compulsory,abbreviation_or_uppercase,A,130,122,moe-hs-english-2017-2020-appendix-2
42,adapt*,adapt,adapt,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
43,adaptation**,adaptation,adaptation,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
44,add,add,add,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
45,addict*,addict,addict,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
46,addition*,addition,addition,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
47,address,address,address,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
48,adjust**,adjust,adjust,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
49,administration**,administration,administration,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
50,admire*,admire,admire,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
51,admit*,admit,admit,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
52,adopt**,adopt,adopt,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
53,adorable**,adorable,adorable,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
54,adult*,adult,adult,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
55,advance*,advance,advance,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
56,advantage,advantage,advantage,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
57,adventure*,adventure,adventure,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
58,advertise**,advertise,advertise,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
59,advertisement (ad)**,advertisement (ad),advertisement,ad,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
60,advice,advice,advice,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
61,advise,advise,advise,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
62,advocate**,advocate,advocate,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
63,affair*,affair,affair,,*,high_school_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
64,affect**,affect,affect,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
65,afford,afford,afford,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
66,afraid,afraid,afraid,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
67,Africa,Africa,Africa,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
68,African,African,African,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
69,after,after,after,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
70,afternoon,afternoon,afternoon,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
71,afterward**,afterward,afterward,,**,high_school_selective_compulsory,word,A,130,122,moe-hs-english-2017-2020-appendix-2
72,again,again,again,,,compulsory_education,word,A,130,122,moe-hs-english-2017-2020-appendix-2
73,against,against,against,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
74,age,age,age,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
75,agency**,agency,agency,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
76,agenda**,agenda,agenda,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
77,ago,ago,ago,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
78,agree,agree,agree,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
79,agreement,agreement,agreement,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
80,agriculture*,agriculture,agriculture,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
81,ahead*,ahead,ahead,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
82,aid*,aid,aid,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
83,aim*,aim,aim,,*,high_school_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
84,air,air,air,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
85,airline**,airline,airline,,**,high_school_selective_compulsory,word,A,131,123,moe-hs-english-2017-2020-appendix-2
86,airport,airport,airport,,,compulsory_education,word,A,131,123,moe-hs-english-2017-2020-appendix-2
