phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
used to,used to,2,senior_high,true,a,used_to%3:00:03::|used_to%5:00:00:accustomed_to:00,true,210,evidence_ready_review,81.211,false
sort of,sort of,2,senior_high,true,r,sort_of%4:02:00::,false,40,evidence_ready_review,58.576,false
solar system,solar system,2,senior_high,true,n,solar_system%1:17:00::,true,36,evidence_ready_review,56.095,false
in addition,in addition,2,senior_high,true,r,in_addition%4:02:01::,false,31,evidence_ready_review,55.0,false
figure out,figure out,2,senior_high,true,v,figure_out%2:31:00::,true,14,evidence_ready_review,53.069,false
mental health,mental health,2,senior_high,true,n,mental_health%1:26:00::,false,37,evidence_ready_review,52.479,false
stand firm,stand firm,2,senior_high,true,v,stand_firm%2:32:00::|stand_firm%2:33:00::,false,18,evidence_ready_review,52.479,false
national park,national park,2,senior_high,true,n,national_park%1:15:00::,true,23,evidence_ready_review,49.85,false
space agency,space agency,2,senior_high,true,n,space_agency%1:14:01::,false,25,evidence_ready_review,47.004,false
rely on,rely on,2,senior_high,true,v,rely_on%2:42:00::|rely_on%2:42:02::,false,11,evidence_ready_review,45.85,false
in particular,in particular,2,senior_high,true,r,in_particular%4:02:00::,false,13,evidence_ready_review,43.074,false
natural history,natural history,2,senior_high,true,n,natural_history%1:09:00::,true,14,evidence_ready_review,43.069,false
bounce back,bounce back,2,senior_high,true,v,bounce_back%2:30:00::,true,6,evidence_ready_review,42.074,false
civil war,civil war,2,senior_high,true,n,civil_war%1:04:00::,true,13,evidence_ready_review,42.074,false
science fiction,science fiction,2,senior_high,true,n,science_fiction%1:10:00::,true,13,evidence_ready_review,42.074,false
secretary general,secretary general,2,senior_high,true,n,secretary_general%1:18:00::,true,13,evidence_ready_review,42.074,false
seek out,seek out,2,senior_high,true,v,seek_out%2:35:00::,true,6,evidence_ready_review,42.074,false
escape from,escape from,2,senior_high,true,v,escape_from%2:38:00::,false,8,evidence_ready_review,41.699,false
credit card,credit card,2,senior_high,true,n,credit_card%1:21:01::,true,12,evidence_ready_review,41.004,false
for instance,for instance,2,senior_high,true,r,for_instance%4:02:00::,false,11,evidence_ready_review,40.85,false
secretary of state,secretary of state,3,senior_high,true,n,secretary_of_state%1:18:00::,true,11,evidence_ready_review,39.85,false
ward off,ward off,2,senior_high,true,v,ward_off%2:33:00::|ward_off%2:41:00::,true,5,evidence_ready_review,39.85,false
well being,well being,2,senior_high,true,n,well-being%1:26:00::,true,9,evidence_ready_review,37.219,false
in advance,in advance,2,senior_high,true,a|r,in_advance%4:02:00::|in_advance%5:00:00:front:00,false,8,evidence_ready_review,36.699,false
natural gas,natural gas,2,senior_high,true,n,natural_gas%1:27:00::,true,8,evidence_ready_review,35.699,false
in reality,in reality,2,senior_high,true,r,in_reality%4:02:00::,false,7,evidence_ready_review,35.0,false
to the contrary,to the contrary,3,senior_high,true,r,to_the_contrary%4:02:00::,false,7,evidence_ready_review,35.0,false
air pollution,air pollution,2,senior_high,true,n,air_pollution%1:26:00::,false,10,evidence_ready_review,34.594,false
breast cancer,breast cancer,2,senior_high,true,n,breast_cancer%1:26:00::,false,10,evidence_ready_review,34.594,false
open source,open source,2,senior_high,true,a,open-source%3:01:00::,false,10,evidence_ready_review,34.594,false
cave in,cave in,2,senior_high,true,n|v,cave_in%1:11:00::|cave_in%2:38:00::,true,3,evidence_ready_review,34.0,false
heart failure,heart failure,2,senior_high,true,n,heart_failure%1:26:00::,true,7,evidence_ready_review,34.0,false
living room,living room,2,senior_high,true,n,living-room%1:06:00::|living_room%1:06:00::,true,7,evidence_ready_review,34.0,false
news conference,news conference,2,senior_high,true,n,news_conference%1:10:00::,true,7,evidence_ready_review,34.0,false
plug in,plug in,2,senior_high,true,n|v,plug-in%1:06:00::|plug-in%1:10:00::|plug_in%2:35:00::,true,3,evidence_ready_review,34.0,false
public domain,public domain,2,senior_high,true,n,public_domain%1:21:00::,true,7,evidence_ready_review,34.0,false
real estate,real estate,2,senior_high,true,n,real_estate%1:21:00::,true,7,evidence_ready_review,34.0,false
equal to,equal to,2,senior_high,true,a,equal_to%5:00:00:adequate:00,false,9,evidence_ready_review,33.219,false
get used to,get used to,3,senior_high,true,v,get_used_to%2:30:00::,false,4,evidence_ready_review,33.219,false
mental illness,mental illness,2,senior_high,true,n,mental_illness%1:26:00::,false,9,evidence_ready_review,33.219,false
royal family,royal family,2,senior_high,true,n,royal_family%1:14:00::,false,9,evidence_ready_review,33.219,false
in detail,in detail,2,senior_high,true,r,in_detail%4:02:00::,false,6,evidence_ready_review,33.074,false
on the contrary,on the contrary,3,senior_high,true,r,on_the_contrary%4:02:02::,false,6,evidence_ready_review,33.074,false
foreign minister,foreign minister,2,senior_high,true,n,foreign_minister%1:18:00::,true,6,evidence_ready_review,32.074,false
nervous system,nervous system,2,senior_high,true,n,nervous_system%1:08:00::,true,6,evidence_ready_review,32.074,false
mutual aid,mutual aid,2,senior_high,true,n,mutual_aid%1:04:00::,false,8,evidence_ready_review,31.699,false
native language,native language,2,senior_high,true,n,native_language%1:10:00::,false,8,evidence_ready_review,31.699,false
native speaker,native speaker,2,senior_high,true,n,native_speaker%1:18:00::,false,8,evidence_ready_review,31.699,false
solar power,solar power,2,senior_high,true,n,solar_power%1:19:00::,false,8,evidence_ready_review,31.699,false
string theory,string theory,2,senior_high,true,n,string_theory%1:09:00::,false,8,evidence_ready_review,31.699,false
carve out,carve out,2,senior_high,true,v,carve_out%2:30:00::|carve_out%2:36:00::,false,3,evidence_ready_review,30.0,false
economic crisis,economic crisis,2,senior_high,true,n,economic_crisis%1:26:00::,false,7,evidence_ready_review,30.0,false
